edinet_code,name,syoken_code,security_code
E00545,マーチャント・バンカーズ株式会社,31210,3121
E00547,ダイトウボウ株式会社,32020,3202
E00550,株式会社ダイドーリミテッド,32050,3205
E00552,日本毛織株式会社,32010,3201
E00556,株式会社トーア紡コーポレーション,32040,3204
E00558,日本製麻株式会社,33060,3306
E00559,帝国繊維株式会社,33020,3302
E00562,セーレン株式会社,35690,3569
E00563,東海染工株式会社,35770,3577
E00566,北日本紡績株式会社,34090,3409
E00567,アツギ株式会社,35290,3529
E00569,株式会社ソトー,35710,3571
E00570,ニチモウ株式会社,80910,8091
E00571,株式会社ナイガイ,80130,8013
E00572,イチカワ株式会社,35130,3513
E00573,日本フエルト株式会社,35120,3512
E00574,住江織物株式会社,35010,3501
E00576,エコナックホールディングス株式会社,35210,3521
E00577,芦森工業株式会社,35260,3526
E00578,日東製網株式会社,35240,3524
E00584,オーベクス株式会社,35830,3583
E00585,株式会社バナーズ,30110,3011
E00590,株式会社ワコールホールディングス,35910,3591
E00591,小松マテーレ株式会社,35800,3580
E00593,株式会社三陽商会,80110,8011
E00600,ヤマトインターナショナル株式会社,81270,8127
E00601,株式会社デサント,81140,8114
E00603,株式会社ゴールドウイン,81110,8111
E00604,株式会社ルックホールディングス,80290,8029
E00605,株式会社ラピーヌ,81430,8143
E00607,株式会社自重堂,35970,3597
E00609,ＭＲＫホールディングス株式会社,99800,9980
E00610,株式会社フジックス,36000,3600
E00614,川本産業株式会社,36040,3604
E00617,株式会社クラウディアホールディングス,36070,3607
E00630,株式会社ウッドワン,78980,7898
E00631,永大産業株式会社,78220,7822
E00632,ホクシン株式会社,78970,7897
E00633,セブン工業株式会社,78960,7896
E00635,南海プライウッド株式会社,78870,7887
E00636,株式会社ノダ,78790,7879
E00639,株式会社オービス,78270,7827
E00640,ニホンフラッシュ株式会社,78200,7820
E00642,王子ホールディングス株式会社,38610,3861
E00644,三菱製紙株式会社,38640,3864
E00645,北越コーポレーション株式会社,38650,3865
E00649,中越パルプ工業株式会社,38770,3877
E00650,株式会社巴川コーポレーション,38780,3878
E00652,野崎印刷紙業株式会社,79190,7919
E00659,レンゴー株式会社,39410,3941
